tempo,key,mode,danceability,energy,valence,acousticness,speechiness,liveness,loudness,duration_ms,popularity,is_hit
150.273,7,1,0.336,0.627,0.35,0.1639999999999999,0.0384,0.0708,-7.462999999999999,241107,88,1
150.035,9,0,0.542,0.9,0.395,0.0738,0.0546,0.14,-4.586,242347,58,1
81.068,1,1,0.5660000000000001,0.716,0.45,0.00691,0.0424,0.37,-5.733,207481,90,1
144.015,0,1,0.737,0.802,0.682,0.468,0.0878,0.0931,-4.771,172325,96,1
144.02,5,1,0.735,0.805,0.617,0.468,0.0888,0.094,-4.8210000000000015,172325,72,1
114.044,6,0,0.746,0.765,0.737,0.0112,0.0993,0.0936,-4.41,199054,97,1
114.044,6,0,0.746,0.765,0.737,0.0112,0.0993,0.0936,-4.41,199054,81,1
95.39,0,1,0.5479999999999999,0.816,0.557,0.122,0.0465,0.335,-4.209,174000,94,1
95.39,0,1,0.5479999999999999,0.816,0.557,0.122,0.0465,0.335,-4.209,174000,82,1
130.033,0,0,0.613,0.581,0.551,0.537,0.0424,0.25,-8.588,239560,83,1
168.983,11,1,0.843,0.741,0.68,0.0252,0.334,0.096,-5.609,155497,80,1
171.005,1,1,0.514,0.73,0.334,0.00146,0.0598,0.0897,-5.934,200040,96,1
81.618,1,0,0.8340000000000001,0.454,0.8370000000000001,0.321,0.201,0.114,-9.75,247059,84,1
81.604,1,0,0.83,0.49,0.845,0.289,0.209,0.113,-8.82,247059,80,1
116.971,10,0,0.8959999999999999,0.586,0.642,0.104,0.0559,0.79,-6.687,196653,89,1
120.042,0,1,0.695,0.762,0.5529999999999999,0.192,0.0395,0.0863,-3.497,215280,89,1
170.062,10,0,0.537,0.746,0.252,0.0236,0.15,0.156,-5.5070000000000014,198267,80,1
109.891,1,1,0.501,0.405,0.446,0.7509999999999999,0.0319,0.105,-5.678999999999999,182161,91,1
109.891,1,1,0.501,0.405,0.446,0.7509999999999999,0.0319,0.105,-5.678999999999999,182161,81,1
109.889,1,1,0.501,0.405,0.447,0.7509999999999999,0.032,0.105,-5.678999999999999,182173,0,1
